MTgenes,G2Mgenes,Sgenes,RMgenes
,,,AMEX60DDU001001424::MSTRG.319
,,,AMEX60DDU001001425::MSTRG.320
,,,AMEX60DDU001001426::MSTRG.321
,,,AMEX60DDU001001427::MSTRG.322
,,,AMEX60DDU001001495::MSTRG.323
,,,RPS3A::AMEX60DDU001001517::MSTRG.324
,,,AMEX60DDU001001527::MSTRG.325
,,,AMEX60DDU001001528::MSTRG.326
,,,AMEX60DDU001001531::MSTRG.328
,,,AMEX60DDU001001544::MSTRG.331
,,,AMEX60DDU001001545::MSTRG.332
,,,AMEX60DDU001001571::MSTRG.333
,,,AMEX60DDU001001574::MSTRG.336
,,,AMEX60DDU001001575::MSTRG.337
,,,AMEX60DDU001001576::MSTRG.338
,,,AMEX60DDU001001608::MSTRG.340
,,,AMEX60DDU001001609::MSTRG.341
,,,AMEX60DDU001001610::MSTRG.342
,,,AMEX60DDU001001618::MSTRG.344
,,,MSTRG.345
,,,AMEX60DDU001001623::MSTRG.347
,,,AMEX60DDU001001624::MSTRG.348
,,,AMEX60DDU001001629::MSTRG.351
,,,AMEX60DDU001001630::MSTRG.352
,,,AMEX60DDU001001643::MSTRG.353
,,,AMEX60DDU001001647::MSTRG.356
,,,AMEX60DDU001001648::MSTRG.357
,,,AMEX60DDU001001649::MSTRG.358
,,,AMEX60DDU001001650::MSTRG.359
,,,AMEX60DDU001001667::MSTRG.364
,,,AMEX60DDU001001668::MSTRG.365
,,,AMEX60DDU001001673::MSTRG.366
,,,AMEX60DDU001001686::MSTRG.368
,,,AMEX60DDU001001723::MSTRG.370
,,,AMEX60DDU001001724::MSTRG.371
,,,AMEX60DDU001001725::MSTRG.372
,,,AMEX60DDU001001726::MSTRG.373
,,,AMEX60DDU001001727::MSTRG.374
,,,AMEX60DDU001001737::MSTRG.380
,,,AMEX60DDU001001740::MSTRG.381
,,,AMEX60DDU001001743::MSTRG.384
,,,AMEX60DDU001001816::MSTRG.387
,,,AMEX60DDU001001817::MSTRG.388
,,,AMEX60DDU001001818::MSTRG.389
,,,AMEX60DDU001001819::MSTRG.390
,,,AMEX60DDU001001824::MSTRG.391
,,,AMEX60DDU001001825::MSTRG.392
,,,MSTRG.393
,,,AMEX60DDU001001855::MSTRG.395
,,,AMEX60DDU001001858::MSTRG.398
,,,AMEX60DDU001001887::MSTRG.401
,,,AMEX60DDU001001895::MSTRG.402
,,,AMEX60DDU001001897::MSTRG.404
,,,AMEX60DDU001001926::MSTRG.407
,,,AMEX60DDU001001927::MSTRG.408
,,,MSTRG.409
,,,AMEX60DDU001001994::MSTRG.410
,,,AMEX60DDU001001995::MSTRG.411
,,,AMEX60DDU001001996::MSTRG.412
,,,AMEX60DDU001001997::MSTRG.413
,,,AMEX60DDU001002011::MSTRG.416
,,,AMEX60DDU001002014::MSTRG.419
,,,AMEX60DDU001002015::MSTRG.420
,,,AMEX60DDU001002016::MSTRG.421
,,,AMEX60DDU001002017::MSTRG.422
,,,AMEX60DDU001002018::MSTRG.423
,,,AMEX60DDU001002019::MSTRG.424
,,,AMEX60DDU001002021::MSTRG.426
,,,AMEX60DDU001002022::MSTRG.427
,,,AMEX60DDU001002034::MSTRG.428
,,,AMEX60DDU001002035::MSTRG.429
,,,AMEX60DDU001002036::MSTRG.430
,,,MSTRG.437
,,,AMEX60DDU001002104::MSTRG.438
,,,AMEX60DDU001002112::MSTRG.440
,,,AMEX60DDU001002116::MSTRG.441
,,,AMEX60DDU001002125::MSTRG.443
,,,AMEX60DDU001002126::MSTRG.444
,,,AMEX60DDU001002127::MSTRG.445
,,,MSTRG.446
